B2_Blue,B3_Green,B4_Red,B8_NIR,B11_SWIR1,B12_SWIR2,NDVI,NDWI,EVI,SAVI,texture_contrast,texture_entropy,land_class
0.07483570765056163,0.08308678494144077,0.10238442690503463,0.5261514928204013,0.1882923312638332,0.08829315215254098,0.8079212815507392,0.37674347291529087,0.4030525614065048,0.5542560043585965,9.682911535937688,1.8671351232148716,Lúa
0.06209811357830171,-0.005664012232889898,-0.01624589162565164,0.4218856235379514,0.14935844398327883,0.1157123666297637,0.5591975924478789,0.15876962986647083,0.5965648768921554,0.47742236995134646,12.33764102343962,1.3876259068932717,Lúa
0.02278086377374087,0.0955461294854933,0.012450321128884861,0.4687849009172836,0.16996806550405977,0.08541531251033617,0.5898293387770603,0.4852278184508938,0.4486502775262066,0.39422890710440994,16.112724560515943,1.489578175014489,Lúa
0.060443179750237774,-0.007983506193988785,0.003590697555078473,0.4598430617934562,0.23692332899977053,0.10856841405949853,0.6384351717611759,0.2698896304410711,0.3021478009632573,0.4280155791605291,9.696806145201062,2.628561113109458,Lúa
0.06718091447842307,0.001847992231863299,0.08620419846973976,0.4307458859791842,0.16615389998470206,0.1305838144420434,0.7530999522495951,0.39312801191161983,0.36607824767773617,0.46907876241487856,13.65631715701782,2.5877725635611797,Lúa
0.026041288107735504,0.08071705116680913,0.014683251299698594,0.39018966879596645,0.2406262911197099,0.16781200142854114,0.6427989878419667,0.4003532897892024,0.4861636025047634,0.43548802453948754,13.806978027542069,2.8690182832329847,Lúa
0.048208698044502424,0.16823218279070032,-0.06098725520448722,0.4910951252187612,0.20435235341190858,0.08504963247670663,0.6591760776535502,0.1012431085399107,0.4280328112162488,0.5357112571511746,19.38947022370758,1.8408648908631764,Lúa
0.009575319855340617,0.06491214782077318,0.11577010588510372,0.4664375554829842,0.17351198981164806,0.12566337165566782,0.659707754934804,0.3968644990532889,0.3797946906122648,0.4672337853402232,10.039459234339212,1.3682425259339408,Lúa
0.0648060138532288,0.10305276360899446,0.07025567283212306,0.43827064333124266,0.12923146289747928,0.07896773386173206,0.615728548347323,0.2197722730778381,0.4338714288333991,0.5404050856814538,21.43092950605265,2.1872889064159198,Lúa
0.06287751953613822,0.08627770421169163,-0.025938560764952073,0.4486743062275392,0.20301151049705132,0.2231621056242643,0.6307639035218877,0.3301547342333612,0.44652882302947566,0.3831321962380468,17.714114072575104,2.4759665163433873,Lúa
0.08955159735215235,0.04453062726026305,0.140139715546805,0.37990744686038597,0.22934285469001353,0.20952278129049895,0.5509463674869312,0.2433702270397228,0.45996513650876414,0.44965243458838006,4.246682844669337,2.1342814874030136,Lúa
